Compound	Sample Name	Height	Area	Actual RT	m/z (Delta)	Formula
Biotin pos	solvent_blank_1	20664	313460	5.74	-1.6035 (ppm)	C10H16N2O3S
Biotin U-13C neg	solvent_blank_2	0	0	0	0	[13]C10H16N2O3S
Biotin U-13C neg	P9	0	0	0	0	[13]C10H16N2O3S
Biotin U-13C neg	P8	11500	39351	6.11	4.0822 (ppm)	[13]C10H16N2O3S
Biotin U-13C neg	P7	644	2429	15.44	2.0325 (ppm)	[13]C10H16N2O3S
Biotin U-13C neg	P6	1709	6132	11.5	-3.7548 (ppm)	[13]C10H16N2O3S
Biotin U-13C neg	P5	829	3092	1.09	-2.8505 (ppm)	[13]C10H16N2O3S
Biotin U-13C neg	P4	4420	50268	13.56	-1.1625 (ppm)	[13]C10H16N2O3S
Biotin U-13C neg	P3	0	0	0	0	[13]C10H16N2O3S
Biotin U-13C neg	P2	0	0	0	0	[13]C10H16N2O3S
Biotin U-13C neg	P1	0	0	0	0	[13]C10H16N2O3S
Biotin U-13C neg	solvent_blank_1	0	0	0	0	[13]C10H16N2O3S
Biotin U-13C pos	solvent_blank_2	0	0	0	0	[13]C10H16N2O3S
Biotin U-13C pos	P9	1296	4745	10.65	.5090 (ppm)	[13]C10H16N2O3S
Biotin U-13C pos	P8	5726	20482	6.43	-4.8737 (ppm)	[13]C10H16N2O3S
Biotin U-13C pos	P7	0	0	0	0	[13]C10H16N2O3S
Biotin U-13C pos	P6	0	0	0	0	[13]C10H16N2O3S
Biotin U-13C pos	P5	1911	6856	11.55	-3.6177 (ppm)	[13]C10H16N2O3S
Biotin U-13C pos	P4	0	0	0	0	[13]C10H16N2O3S
Biotin U-13C pos	P3	0	0	0	0	[13]C10H16N2O3S
Biotin U-13C pos	P2	0	0	0	0	[13]C10H16N2O3S
Biotin U-13C pos	P1	0	0	0	0	[13]C10H16N2O3S
Biotin U-13C pos	solvent_blank_1	0	0	0	0	[13]C10H16N2O3S
Carbamoylaspartate neg	solvent_blank_2	1802	6591	1.76	-.8646 (ppm)	C5H8N2O5
Carbamoylaspartate neg	P9	2556	27904	11.29	-.7774 (ppm)	C5H8N2O5
Carbamoylaspartate neg	P8	2546	8887	8.86	-.4287 (ppm)	C5H8N2O5
Carbamoylaspartate neg	P7	31593	108456	9.39	4.4531 (ppm)	C5H8N2O5
Carbamoylaspartate neg	P6	260285558	4098440047	11.27	-1.3004 (ppm)	C5H8N2O5
Carbamoylaspartate neg	P5	1156	4346	12.89	-1.2133 (ppm)	C5H8N2O5
Carbamoylaspartate neg	P4	1945	6976	11.39	-.8646 (ppm)	C5H8N2O5
Carbamoylaspartate neg	P3	3036	10539	7.16	-1.8235 (ppm)	C5H8N2O5
Carbamoylaspartate neg	P2	1837	11241	11.3	-.4287 (ppm)	C5H8N2O5
Carbamoylaspartate neg	P1	1876	13409	1.36	-.0800 (ppm)	C5H8N2O5
Carbamoylaspartate neg	solvent_blank_1	2408	40324	2.58	-.3415 (ppm)	C5H8N2O5
Carbamoylaspartate pos	solvent_blank_2	999	3699	11.44	2.2303 (ppm)	C5H8N2O5
Carbamoylaspartate pos	P9	1278	4719	11.12	.4204 (ppm)	C5H8N2O5
Carbamoylaspartate pos	P8	1505	5521	9.57	3.3507 (ppm)	C5H8N2O5
Carbamoylaspartate pos	P7	14677	139671	7.31	1.3685 (ppm)	C5H8N2O5
Carbamoylaspartate pos	P6	111736230	1475819364	11.28	.9375 (ppm)	C5H8N2O5
Carbamoylaspartate pos	P5	1650	6062	14.96	3.3507 (ppm)	C5H8N2O5
Carbamoylaspartate pos	P4	0	0	0	0	C5H8N2O5
Carbamoylaspartate pos	P3	2263	8128	11.19	.8514 (ppm)	C5H8N2O5
Carbamoylaspartate pos	P2	1590	5780	2.28	4.4710 (ppm)	C5H8N2O5
Carbamoylaspartate pos	P1	959	3579	0.62	-1.3894 (ppm)	C5H8N2O5
Carbamoylaspartate pos	solvent_blank_1	0	0	0	0	C5H8N2O5
Carbamoylaspartate U-13C neg	solvent_blank_2	1372	5030	2.06	-2.0857 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C neg	P9	1860	6564	6.35	-1.6620 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C neg	P8	1357	4888	3.61	-1.0688 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C neg	P7	4788	16440	8.18	-4.1196 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C neg	P6	9963	56682	3.65	-1.8315 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C neg	P5	1856	6491	3.54	-2.7637 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C neg	P4	2771	16574	2.3	-1.0688 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C neg	P3	6279	27637	1.91	-2.1705 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C neg	P2	9887	211924	3.13	-4.8824 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C neg	P1	53129	689761	8.29	-4.5434 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C neg	solvent_blank_1	1074	3928	1.43	-.9840 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C pos	solvent_blank_2	3218	36715	2.76	-.9353 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C pos	P9	9152	32246	6.59	-1.5220 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C pos	P8	61501	682046	6.07	-2.1925 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C pos	P7	1936	18539	4.4	-.4325 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C pos	P6	6108	46977	6.45	-.5163 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C pos	P5	2215	32609	6.15	-1.2706 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C pos	P4	5108	34392	3.74	.8246 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C pos	P3	2203	23939	5.45	1.1599 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C pos	P2	383118	3749472	2.69	-.4325 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C pos	P1	194343	1149221	8.28	1.4951 (ppm)	[13]C5H8N2O5
Carbamoylaspartate U-13C pos	solvent_blank_1	4529	39318	7.28	-1.0191 (ppm)	[13]C5H8N2O5
Carnitine neg	solvent_blank_2	1657	5977	3.89	-1.0756 (ppm)	C7H15NO3
Carnitine neg	P9	844	3127	5.7	-.6943 (ppm)	C7H15NO3
Carnitine neg	P8	7924	36784	9.29	-2.6005 (ppm)	C7H15NO3
Carnitine neg	P7	0	0	0	0	C7H15NO3
Carnitine neg	P6	160398	1313007	10.04	3.6899 (ppm)	C7H15NO3
Carnitine neg	P5	1053	3916	5.68	4.8336 (ppm)	C7H15NO3
Carnitine neg	P4	3713	13042	2	-.8850 (ppm)	C7H15NO3
Carnitine neg	P3	1482289	19344000	6.91	-.5990 (ppm)	C7H15NO3
Carnitine neg	P2	1057	3897	1.35	-2.4099 (ppm)	C7H15NO3
Carnitine neg	P1	2924841	35203470	8.49	-.6943 (ppm)	C7H15NO3
Carnitine neg	solvent_blank_1	1025	6945	1.49	.8306 (ppm)	C7H15NO3
Carnitine pos	solvent_blank_2	124720	2099631	8.54	-.0785 (ppm)	C7H15NO3
Carnitine pos	P9	44699	1167534	8.5	-.2667 (ppm)	C7H15NO3
Carnitine pos	P8	95788	1335492	8.51	-.2667 (ppm)	C7H15NO3
Carnitine pos	P7	148964	1645178	8.5	-.9256 (ppm)	C7H15NO3
Carnitine pos	P6	221904	3510413	8.55	-.2667 (ppm)	C7H15NO3
Carnitine pos	P5	80588	1293488	8.5	-.1726 (ppm)	C7H15NO3
Carnitine pos	P4	271855	4535151	8.52	1.2393 (ppm)	C7H15NO3
Carnitine pos	P3	159767570	2098887025	8.51	.2980 (ppm)	C7H15NO3
Carnitine pos	P2	402701	6557929	8.53	.2039 (ppm)	C7H15NO3
Carnitine pos	P1	4163503889	69855699864	8.53	.7686 (ppm)	C7H15NO3
Carnitine pos	solvent_blank_1	193759	3517117	8.53	-.0785 (ppm)	C7H15NO3
Carnitine U-13C neg	solvent_blank_2	0	0	0	0	[13]C7H15NO3
Carnitine U-13C neg	P9	0	0	0	0	[13]C7H15NO3
Carnitine U-13C neg	P8	443	1737	15.89	-2.9281 (ppm)	[13]C7H15NO3
Carnitine U-13C neg	P7	0	0	0	0	[13]C7H15NO3
Carnitine U-13C neg	P6	0	0	0	0	[13]C7H15NO3
Carnitine U-13C neg	P5	737	2691	7.85	-2.0151 (ppm)	[13]C7H15NO3
Carnitine U-13C neg	P4	789	2889	12.63	4.3761 (ppm)	[13]C7H15NO3
Carnitine U-13C neg	P3	0	0	0	0	[13]C7H15NO3
Carnitine U-13C neg	P2	0	0	0	0	[13]C7H15NO3
Carnitine U-13C neg	P1	0	0	0	0	[13]C7H15NO3
Carnitine U-13C neg	solvent_blank_1	0	0	0	0	[13]C7H15NO3
Carnitine U-13C pos	solvent_blank_2	992	3677	4.78	-3.8449 (ppm)	[13]C7H15NO3
Carnitine U-13C pos	P9	20681	104437	8.18	-3.6645 (ppm)	[13]C7H15NO3
Carnitine U-13C pos	P8	712	4646	14.04	-2.2210 (ppm)	[13]C7H15NO3
Carnitine U-13C pos	P7	926	3441	1.04	.3050 (ppm)	[13]C7H15NO3
Carnitine U-13C pos	P6	820	5814	13.89	-4.2058 (ppm)	[13]C7H15NO3
Carnitine U-13C pos	P5	0	0	0	0	[13]C7H15NO3
Carnitine U-13C pos	P4	78659	267565	4.24	3.4626 (ppm)	[13]C7H15NO3
Carnitine U-13C pos	P3	1885	6782	7.95	.3952 (ppm)	[13]C7H15NO3
Carnitine U-13C pos	P2	69888	239838	4.3	-3.1232 (ppm)	[13]C7H15NO3
Carnitine U-13C pos	P1	2380	8623	2.67	.6659 (ppm)	[13]C7H15NO3
Carnitine U-13C pos	solvent_blank_1	2534	9126	3.9	-2.4917 (ppm)	[13]C7H15NO3
Carnosine neg	solvent_blank_2	4783	44735	10.06	-.5003 (ppm)	C9H14N4O3
Carnosine neg	P9	715	2697	9.53	-3.4151 (ppm)	C9H14N4O3
Carnosine neg	P8	858	3156	9.82	1.6011 (ppm)	C9H14N4O3
Carnosine neg	P7	959	3587	12.94	.3132 (ppm)	C9H14N4O3
Carnosine neg	P6	6795	56621	9.52	-.8392 (ppm)	C9H14N4O3
Carnosine neg	P5	1671	14921	8.78	-2.1950 (ppm)	C9H14N4O3
Carnosine neg	P4	5294	47487	9.37	-1.1104 (ppm)	C9H14N4O3
Carnosine neg	P3	7244	164162	9.37	-1.6527 (ppm)	C9H14N4O3
Carnosine neg	P2	95346407	1285308786	10.12	-1.5849 (ppm)	C9H14N4O3
Carnosine neg	P1	6442	110640	8.52	.7877 (ppm)	C9H14N4O3
Carnosine neg	solvent_blank_1	6349	184234	8.99	-.1613 (ppm)	C9H14N4O3
Carnosine pos	solvent_blank_2	6107	55775	10.11	-1.1142 (ppm)	C9H14N4O3
Carnosine pos	P9	946	4610	14.03	2.2451 (ppm)	C9H14N4O3
Carnosine pos	P8	4018	38283	10.02	-.3080 (ppm)	C9H14N4O3
Carnosine pos	P7	15556	106871	9.91	.6998 (ppm)	C9H14N4O3
Carnosine pos	P6	3429	21349	9.14	-1.1814 (ppm)	C9H14N4O3
Carnosine pos	P5	6407	61248	9.97	-.3080 (ppm)	C9H14N4O3
Carnosine pos	P4	9043	105082	10.21	-.7111 (ppm)	C9H14N4O3
Carnosine pos	P3	40716	824952	9.59	-1.2486 (ppm)	C9H14N4O3
Carnosine pos	P2	500920412	7019409319	10.1	.0279 (ppm)	C9H14N4O3
Carnosine pos	P1	9574	66982	10	-1.4502 (ppm)	C9H14N4O3
Carnosine pos	solvent_blank_1	12197	390703	8.53	-1.2486 (ppm)	C9H14N4O3
Carnosine U-13C neg	solvent_blank_2	0	0	0	0	[13]C9H14N4O3
Carnosine U-13C neg	P9	0	0	0	0	[13]C9H14N4O3
Carnosine U-13C neg	P8	0	0	0	0	[13]C9H14N4O3
Carnosine U-13C neg	P7	1593	5683	2.05	-2.1225 (ppm)	[13]C9H14N4O3
Carnosine U-13C neg	P6	0	0	0	0	[13]C9H14N4O3
Carnosine U-13C neg	P5	0	0	0	0	[13]C9H14N4O3
Carnosine U-13C neg	P4	0	0	0	0	[13]C9H14N4O3
Carnosine U-13C neg	P3	0	0	0	0	[13]C9H14N4O3
Carnosine U-13C neg	P2	0	0	0	0	[13]C9H14N4O3
Carnosine U-13C neg	P1	0	0	0	0	[13]C9H14N4O3
Carnosine U-13C neg	solvent_blank_1	0	0	0	0	[13]C9H14N4O3
Carnosine U-13C pos	solvent_blank_2	954	6912	15.19	-4.4660 (ppm)	[13]C9H14N4O3
Carnosine U-13C pos	P9	8853	31672	3.91	-1.5583 (ppm)	[13]C9H14N4O3
Carnosine U-13C pos	P8	838	3163	10.94	-2.5275 (ppm)	[13]C9H14N4O3
Carnosine U-13C pos	P7	1753	10676	5.2	-3.1091 (ppm)	[13]C9H14N4O3
Carnosine U-13C pos	P6	5383	19498	2.19	-3.8845 (ppm)	[13]C9H14N4O3
Carnosine U-13C pos	P5	2210	8077	2.21	-1.9460 (ppm)	[13]C9H14N4O3
Carnosine U-13C pos	P4	3696	17686	2.14	-3.3029 (ppm)	[13]C9H14N4O3
Carnosine U-13C pos	P3	2214	8072	11.87	-3.9491 (ppm)	[13]C9H14N4O3
Carnosine U-13C pos	P2	3401	12038	3.54	-3.7553 (ppm)	[13]C9H14N4O3
Carnosine U-13C pos	P1	1384	5148	14.6	-4.2722 (ppm)	[13]C9H14N4O3
Carnosine U-13C pos	solvent_blank_1	0	0	0	0	[13]C9H14N4O3
CDP neg	solvent_blank_2	1050	3947	14.44	-4.7196 (ppm)	C9H15N3O11P2
CDP neg	P9	9351	199243	10.84	2.8717 (ppm)	C9H15N3O11P2
CDP neg	P8	722	2723	10.86	-3.3531 (ppm)	C9H15N3O11P2
CDP neg	P7	3151	14298	8.6	1.2016 (ppm)	C9H15N3O11P2
CDP neg	P6	3013	35317	11.68	2.7198 (ppm)	C9H15N3O11P2
CDP neg	P5	18854	387226	11.42	-.6962 (ppm)	C9H15N3O11P2
CDP neg	P4	8488400	131226921	11.42	-1.6831 (ppm)	C9H15N3O11P2
CDP neg	P3	6474653	111565962	11.44	-1.7590 (ppm)	C9H15N3O11P2
CDP neg	P2	95336	792663	9.27	3.7067 (ppm)	C9H15N3O11P2
CDP neg	P1	6583	40378	10.1	.2907 (ppm)	C9H15N3O11P2
CDP neg	solvent_blank_1	2794	103954	11.74	.5184 (ppm)	C9H15N3O11P2
CDP pos	solvent_blank_2	1176	4410	11.38	2.6986 (ppm)	C9H15N3O11P2
CDP pos	P9	1759	6337	10.8	3.5294 (ppm)	C9H15N3O11P2
CDP pos	P8	963	3674	10.54	1.5656 (ppm)	C9H15N3O11P2
CDP pos	P7	1678	12878	11.41	-2.5133 (ppm)	C9H15N3O11P2
CDP pos	P6	5166	28519	11.54	.4326 (ppm)	C9H15N3O11P2
CDP pos	P5	26333	412144	11.41	-.0206 (ppm)	C9H15N3O11P2
CDP pos	P4	7881496	105959741	11.43	-.3228 (ppm)	C9H15N3O11P2
CDP pos	P3	6221600	97871999	11.42	-.0962 (ppm)	C9H15N3O11P2
CDP pos	P2	2030	7450	14.54	.3570 (ppm)	C9H15N3O11P2
CDP pos	P1	132020	819058	8.31	-.9270 (ppm)	C9H15N3O11P2
CDP pos	solvent_blank_1	5279	164256	9.63	-1.6824 (ppm)	C9H15N3O11P2
CDP U-13C neg	solvent_blank_2	1037	3831	4.68	4.4721 (ppm)	[13]C9H15N3O11P2
CDP U-13C neg	P9	880	3331	1.26	.9084 (ppm)	[13]C9H15N3O11P2
CDP U-13C neg	P8	0	0	0	0	[13]C9H15N3O11P2
CDP U-13C neg	P7	0	0	0	0	[13]C9H15N3O11P2
CDP U-13C neg	P6	1226	4574	0.45	-.0568 (ppm)	[13]C9H15N3O11P2
CDP U-13C neg	P5	844	3166	0.64	-1.9129 (ppm)	[13]C9H15N3O11P2
CDP U-13C neg	P4	2738	9449	6.65	-1.4674 (ppm)	[13]C9H15N3O11P2
CDP U-13C neg	P3	1345	4914	1.65	-3.3235 (ppm)	[13]C9H15N3O11P2
CDP U-13C neg	P2	1051	3792	8.08	-2.3584 (ppm)	[13]C9H15N3O11P2
CDP U-13C neg	P1	0	0	0	0	[13]C9H15N3O11P2
CDP U-13C neg	solvent_blank_1	1021	3733	0.89	4.7691 (ppm)	[13]C9H15N3O11P2
CDP U-13C pos	solvent_blank_2	1360	4962	2.01	4.6148 (ppm)	[13]C9H15N3O11P2
CDP U-13C pos	P9	1201	4506	11.82	-.4092 (ppm)	[13]C9H15N3O11P2
CDP U-13C pos	P8	11233	38897	6.32	2.6199 (ppm)	[13]C9H15N3O11P2
CDP U-13C pos	P7	0	0	0	0	[13]C9H15N3O11P2
CDP U-13C pos	P6	0	0	0	0	[13]C9H15N3O11P2
CDP U-13C pos	P5	1240	4551	9.88	-4.6206 (ppm)	[13]C9H15N3O11P2
CDP U-13C pos	P4	76357	259509	4.29	-3.1429 (ppm)	[13]C9H15N3O11P2
CDP U-13C pos	P3	0	0	0	0	[13]C9H15N3O11P2
CDP U-13C pos	P2	7646	26632	4.86	.9206 (ppm)	[13]C9H15N3O11P2
CDP U-13C pos	P1	27673	96031	6.27	1.6595 (ppm)	[13]C9H15N3O11P2
CDP U-13C pos	solvent_blank_1	0	0	0	0	[13]C9H15N3O11P2
CDP-choline neg	solvent_blank_2	0	0	0	0	C14H26N4O11P2
CDP-choline neg	P9	0	0	0	0	C14H26N4O11P2
CDP-choline neg	P8	0	0	0	0	C14H26N4O11P2
CDP-choline neg	P7	0	0	0	0	C14H26N4O11P2
CDP-choline neg	P6	0	0	0	0	C14H26N4O11P2
CDP-choline neg	P5	0	0	0	0	C14H26N4O11P2
CDP-choline neg	P4	1549	5577	9.07	.3484 (ppm)	C14H26N4O11P2
CDP-choline neg	P3	13893401	165414764	10.29	-1.7817 (ppm)	C14H26N4O11P2
CDP-choline neg	P2	0	0	0	0	C14H26N4O11P2
CDP-choline neg	P1	2203	17671	14.85	-.4034 (ppm)	C14H26N4O11P2
CDP-choline neg	solvent_blank_1	1168	4271	1.28	.3484 (ppm)	C14H26N4O11P2
CDP-choline pos	solvent_blank_2	2134	7874	8.18	-1.8431 (ppm)	C14H26N4O11P2
CDP-choline pos	P9	2151	7864	7.71	-1.4688 (ppm)	C14H26N4O11P2
CDP-choline pos	P8	7621	26687	8.6	2.0253 (ppm)	C14H26N4O11P2
CDP-choline pos	P7	2430	8431	4.65	-4.0269 (ppm)	C14H26N4O11P2
CDP-choline pos	P6	0	0	0	0	C14H26N4O11P2
CDP-choline pos	P5	1434	5255	7.87	-4.5884 (ppm)	C14H26N4O11P2
CDP-choline pos	P4	2478	8967	7.33	-3.9645 (ppm)	C14H26N4O11P2
CDP-choline pos	P3	149929765	1777752229	10.25	.1535 (ppm)	C14H26N4O11P2
CDP-choline pos	P2	1772	6540	14.6	3.2107 (ppm)	C14H26N4O11P2
CDP-choline pos	P1	8185	28932	7.85	-1.8431 (ppm)	C14H26N4O11P2
CDP-choline pos	solvent_blank_1	3284	11781	1.92	-1.2816 (ppm)	C14H26N4O11P2
CDP-choline U-13C neg	solvent_blank_2	0	0	0	0	[13]C14H26N4O11P2
CDP-choline U-13C neg	P9	2236	8042	1.81	-.1554 (ppm)	[13]C14H26N4O11P2
CDP-choline U-13C neg	P8	2289	10964	1.68	-4.7225 (ppm)	[13]C14H26N4O11P2
CDP-choline U-13C neg	P7	2349	14563	1.76	-2.1649 (ppm)	[13]C14H26N4O11P2
CDP-choline U-13C neg	P6	0	0	0	0	[13]C14H26N4O11P2
CDP-choline U-13C neg	P5	2645	9643	1.76	-4.1745 (ppm)	[13]C14H26N4O11P2
CDP-choline U-13C neg	P4	9687	68724	1.83	-4.0527 (ppm)	[13]C14H26N4O11P2
CDP-choline U-13C neg	P3	2409	8743	1.71	-.2772 (ppm)	[13]C14H26N4O11P2
CDP-choline U-13C neg	P2	6852	27765	2.59	.0882 (ppm)	[13]C14H26N4O11P2
CDP-choline U-13C neg	P1	5377	35700	1.81	-3.6873 (ppm)	[13]C14H26N4O11P2
CDP-choline U-13C neg	solvent_blank_1	1201	4423	9.2	-4.0527 (ppm)	[13]C14H26N4O11P2
CDP-choline U-13C pos	solvent_blank_2	0	0	0	0	[13]C14H26N4O11P2
CDP-choline U-13C pos	P9	901	3415	12.34	.0409 (ppm)	[13]C14H26N4O11P2
CDP-choline U-13C pos	P8	0	0	0	0	[13]C14H26N4O11P2
CDP-choline U-13C pos	P7	0	0	0	0	[13]C14H26N4O11P2
CDP-choline U-13C pos	P6	30971	328426	7.21	-.4443 (ppm)	[13]C14H26N4O11P2
CDP-choline U-13C pos	P5	1634	5993	15.11	-4.6293 (ppm)	[13]C14H26N4O11P2
CDP-choline U-13C pos	P4	0	0	0	0	[13]C14H26N4O11P2
CDP-choline U-13C pos	P3	0	0	0	0	[13]C14H26N4O11P2
CDP-choline U-13C pos	P2	6138	21933	13.08	-.2624 (ppm)	[13]C14H26N4O11P2
CDP-choline U-13C pos	P1	1471	5394	5.75	.9507 (ppm)	[13]C14H26N4O11P2
CDP-choline U-13C pos	solvent_blank_1	0	0	0	0	[13]C14H26N4O11P2
Choline neg	solvent_blank_2	0	0	0	0	C5H14NO
Choline neg	P9	0	0	0	0	C5H14NO
Choline neg	P8	0	0	0	0	C5H14NO
Choline neg	P7	0	0	0	0	C5H14NO
Choline neg	P6	9323	53879	6.18	-2.9806 (ppm)	C5H14NO
Choline neg	P5	0	0	0	0	C5H14NO
Choline neg	P4	0	0	0	0	C5H14NO
Choline neg	P3	0	0	0	0	C5H14NO
Choline neg	P2	9434	66353	4.65	-2.8326 (ppm)	C5H14NO
Choline neg	P1	0	0	0	0	C5H14NO
Choline neg	solvent_blank_1	0	0	0	0	C5H14NO
Choline pos	solvent_blank_2	1101	4075	8.3	4.4502 (ppm)	C5H14NO
Choline pos	P9	6966	24022	7.31	-2.0821 (ppm)	C5H14NO
Choline pos	P8	9398	32629	7.82	-3.5338 (ppm)	C5H14NO
Choline pos	P7	57051	423985	7.71	3.4340 (ppm)	C5H14NO
Choline pos	P6	0	0	0	0	C5H14NO
Choline pos	P5	0	0	0	0	C5H14NO
Choline pos	P4	2524	8924	6.15	-3.5338 (ppm)	C5H14NO
Choline pos	P3	1457	5299	13.36	2.1276 (ppm)	C5H14NO
Choline pos	P2	252217	2277459	12.13	-3.8967 (ppm)	C5H14NO
Choline pos	P1	0	0	0	0	C5H14NO
Choline pos	solvent_blank_1	1188	4365	14.18	-4.8402 (ppm)	C5H14NO
Choline U-13C neg	solvent_blank_2	0	0	0	0	[13]C5H14NO
Choline U-13C neg	P9	0	0	0	0	[13]C5H14NO
Choline U-13C neg	P8	0	0	0	0	[13]C5H14NO
Choline U-13C neg	P7	0	0	0	0	[13]C5H14NO
Choline U-13C neg	P6	0	0	0	0	[13]C5H14NO
Choline U-13C neg	P5	0	0	0	0	[13]C5H14NO
Choline U-13C neg	P4	0	0	0	0	[13]C5H14NO
Choline U-13C neg	P3	0	0	0	0	[13]C5H14NO
Choline U-13C neg	P2	3424	11757	5.9	-2.6580 (ppm)	[13]C5H14NO
Choline U-13C neg	P1	0	0	0	0	[13]C5H14NO
Choline U-13C neg	solvent_blank_1	0	0	0	0	[13]C5H14NO
Choline U-13C pos	solvent_blank_2	0	0	0	0	[13]C5H14NO
Choline U-13C pos	P9	0	0	0	0	[13]C5H14NO
Choline U-13C pos	P8	0	0	0	0	[13]C5H14NO
Choline U-13C pos	P7	1050	3733	3.68	1.8867 (ppm)	[13]C5H14NO
Choline U-13C pos	P6	0	0	0	0	[13]C5H14NO
Choline U-13C pos	P5	0	0	0	0	[13]C5H14NO
Choline U-13C pos	P4	650	2442	15.51	.5012 (ppm)	[13]C5H14NO
Choline U-13C pos	P3	2833	10042	3.78	-.0530 (ppm)	[13]C5H14NO
Choline U-13C pos	P2	0	0	0	0	[13]C5H14NO
Choline U-13C pos	P1	2196	8048	11.43	1.6096 (ppm)	[13]C5H14NO
Choline U-13C pos	solvent_blank_1	0	0	0	0	[13]C5H14NO
Cis-aconitate neg	solvent_blank_2	8413	190181	12	-2.4968 (ppm)	C6H6O6
Cis-aconitate neg	P9	9049	262941	11.87	-2.2322 (ppm)	C6H6O6
Cis-aconitate neg	P8	13930	308016	12.06	-1.8794 (ppm)	C6H6O6
Cis-aconitate neg	P7	4714685	79476178	9.11	-2.6732 (ppm)	C6H6O6
Cis-aconitate neg	P6	68008	1757067	11.98	-1.0857 (ppm)	C6H6O6
Cis-aconitate neg	P5	296143623	5857984577	12	-.8211 (ppm)	C6H6O6
Cis-aconitate neg	P4	31034	904160	12.01	-2.4968 (ppm)	C6H6O6
Cis-aconitate neg	P3	14953	455579	11.83	-1.7912 (ppm)	C6H6O6
Cis-aconitate neg	P2	15270	512842	11.95	-1.0857 (ppm)	C6H6O6
Cis-aconitate neg	P1	18657	621426	9.87	-.9093 (ppm)	C6H6O6
Cis-aconitate neg	solvent_blank_1	43738	1165541	11.95	-1.2621 (ppm)	C6H6O6
Cis-aconitate pos	solvent_blank_2	0	0	0	0	C6H6O6
Cis-aconitate pos	P9	0	0	0	0	C6H6O6
Cis-aconitate pos	P8	0	0	0	0	C6H6O6
Cis-aconitate pos	P7	0	0	0	0	C6H6O6
Cis-aconitate pos	P6	3028	13805	10.79	-4.9570 (ppm)	C6H6O6
Cis-aconitate pos	P5	53561	699547	12.05	-.4236 (ppm)	C6H6O6
Cis-aconitate pos	P4	2428	8954	7.48	-4.5211 (ppm)	C6H6O6
Cis-aconitate pos	P3	12343	42371	9.88	-.0749 (ppm)	C6H6O6
Cis-aconitate pos	P2	1223848	4184107	7.33	-4.7826 (ppm)	C6H6O6
Cis-aconitate pos	P1	0	0	0	0	C6H6O6
Cis-aconitate pos	solvent_blank_1	3087	11302	7.61	-3.7365 (ppm)	C6H6O6
Cis-aconitate U-13C neg	solvent_blank_2	883	3264	7.36	2.5953 (ppm)	[13]C6H6O6
Cis-aconitate U-13C neg	P9	691	2588	11.74	.8907 (ppm)	[13]C6H6O6
Cis-aconitate U-13C neg	P8	265377	3356104	11.63	1.1464 (ppm)	[13]C6H6O6
Cis-aconitate U-13C neg	P7	9787	168290	11.64	.4646 (ppm)	[13]C6H6O6
Cis-aconitate U-13C neg	P6	0	0	0	0	[13]C6H6O6
Cis-aconitate U-13C neg	P5	2862	22616	9.08	-1.6662 (ppm)	[13]C6H6O6
Cis-aconitate U-13C neg	P4	0	0	0	0	[13]C6H6O6
Cis-aconitate U-13C neg	P3	1764	6391	9.08	-4.3084 (ppm)	[13]C6H6O6
Cis-aconitate U-13C neg	P2	0	0	0	0	[13]C6H6O6
Cis-aconitate U-13C neg	P1	796	2906	12.1	4.2147 (ppm)	[13]C6H6O6
Cis-aconitate U-13C neg	solvent_blank_1	0	0	0	0	[13]C6H6O6
Cis-aconitate U-13C pos	solvent_blank_2	0	0	0	0	[13]C6H6O6
Cis-aconitate U-13C pos	P9	823	3075	1.43	1.5088 (ppm)	[13]C6H6O6
Cis-aconitate U-13C pos	P8	573538	7602802	11.65	2.1831 (ppm)	[13]C6H6O6
Cis-aconitate U-13C pos	P7	18063	317117	11.56	2.0145 (ppm)	[13]C6H6O6
Cis-aconitate U-13C pos	P6	929	3456	14.07	.0760 (ppm)	[13]C6H6O6
Cis-aconitate U-13C pos	P5	0	0	0	0	[13]C6H6O6
Cis-aconitate U-13C pos	P4	0	0	0	0	[13]C6H6O6
Cis-aconitate U-13C pos	P3	0	0	0	0	[13]C6H6O6
